iter	Passed	Remaining
899	26881	2986
900	26911	2957
901	26938	2926
902	26963	2896
903	26991	2866
904	27018	2836
905	27050	2806
906	27085	2777
907	27124	2748
908	27168	2719
909	27201	2690
910	27239	2661
911	27273	2631
912	27304	2601
913	27331	2571
914	27366	2542
915	27394	2512
916	27431	2482
917	27476	2454
918	27507	2424
919	27536	2394
920	27564	2364
921	27593	2334
922	27620	2304
923	27653	2274
924	27680	2244
925	27706	2214
926	27731	2183
927	27759	2153
928	27786	2123
929	27817	2093
930	27850	2064
931	27887	2034
932	27915	2004
933	27941	1974
934	27969	1944
935	27995	1914
936	28024	1884
937	28054	1854
938	28084	1824
939	28114	1794
940	28141	1764
941	28167	1734
942	28196	1704
943	28226	1674
944	28257	1644
945	28290	1614
946	28322	1585
947	28352	1555
948	28383	1525
949	28410	1495
950	28439	1465
951	28463	1435
952	28488	1405
953	28534	1375
954	28571	1346
955	28604	1316
956	28632	1286
957	28659	1256
958	28688	1226
959	28716	1196
960	28745	1166
961	28780	1136
962	28810	1106
963	28841	1077
964	28872	1047
965	28896	1017
966	28928	987
967	28962	957
968	28997	927
969	29033	897
970	29064	868
971	29090	838
972	29117	807
973	29143	777
974	29170	747
975	29202	718
976	29229	688
977	29260	658
978	29294	628
979	29329	598
980	29360	568
981	29392	538
982	29423	508
983	29453	478
984	29490	449
985	29525	419
986	29556	389
987	29587	359
988	29617	329
989	29649	299
990	29680	269
991	29712	239
992	29740	209
993	29767	179
994	29794	149
995	29822	119
996	29848	89
997	29878	59
998	29909	29
999	29941	0
